"Plot Title: JRR_NH34P"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20356137, SEN S/N: 20356137, LBL: Temp)","Intensity, Lux (LGR S/N: 20356137, SEN S/N: 20356137, LBL: umol)","Coupler Attached (LGR S/N: 20356137)","Coupler Detached (LGR S/N: 20356137)","Host Connected (LGR S/N: 20356137)","Stopped (LGR S/N: 20356137)","End Of File (LGR S/N: 20356137)"
253,06/11/22 01:00:00 AM,17.189,0.0,,,,,
254,06/11/22 02:00:00 AM,16.903,0.0,,,,,
255,06/11/22 03:00:00 AM,16.523,0.0,,,,,
256,06/11/22 04:00:00 AM,16.237,0.0,,,,,
257,06/11/22 05:00:00 AM,16.046,0.0,,,,,
258,06/11/22 06:00:00 AM,18.806,9300.1,,,,,
259,06/11/22 07:00:00 AM,21.091,13777.9,,,,,
260,06/11/22 08:00:00 AM,23.484,19977.9,,,,,
261,06/11/22 09:00:00 AM,28.060,27555.7,,,,,
262,06/11/22 10:00:00 AM,29.652,27555.7,,,,,
263,06/11/22 11:00:00 AM,30.659,27555.7,,,,,
264,06/11/22 12:00:00 PM,30.862,28933.5,,,,,
265,06/11/22 01:00:00 PM,31.370,26178.0,,,,,
266,06/11/22 02:00:00 PM,31.880,26178.0,,,,,
267,06/11/22 03:00:00 PM,32.497,27555.7,,,,,
268,06/11/22 04:00:00 PM,32.911,27555.7,,,,,
269,06/11/22 05:00:00 PM,33.222,26178.0,,,,,
270,06/11/22 06:00:00 PM,33.430,27555.7,,,,,
271,06/11/22 07:00:00 PM,30.054,19289.0,,,,,
272,06/11/22 08:00:00 PM,27.272,14466.8,,,,,
273,06/11/22 09:00:00 PM,24.158,8611.2,,,,,
274,06/11/22 10:00:00 PM,19.758,0.0,,,,,
275,06/11/22 11:00:00 PM,18.521,0.0,,,,,
276,06/12/22 12:00:00 AM,17.475,0.0,,,,,
277,06/12/22 01:00:00 AM,17.189,0.0,,,,,
278,06/12/22 02:00:00 AM,16.808,0.0,,,,,
279,06/12/22 03:00:00 AM,16.523,0.0,,,,,
280,06/12/22 04:00:00 AM,16.237,0.0,,,,,
281,06/12/22 05:00:00 AM,16.046,0.0,,,,,
282,06/12/22 06:00:00 AM,18.711,8611.2,,,,,
283,06/12/22 07:00:00 AM,20.901,14466.8,,,,,
284,06/12/22 08:00:00 AM,23.100,17911.2,,,,,
285,06/12/22 09:00:00 AM,27.665,26178.0,,,,,
286,06/12/22 10:00:00 AM,29.352,26178.0,,,,,
287,06/12/22 11:00:00 AM,29.853,22044.6,,,,,
288,06/12/22 12:00:00 PM,29.853,22044.6,,,,,
289,06/12/22 01:00:00 PM,30.659,22044.6,,,,,
290,06/12/22 02:00:00 PM,31.472,22044.6,,,,,
291,06/12/22 03:00:00 PM,31.983,22044.6,,,,,
292,06/12/22 04:00:00 PM,32.497,22044.6,,,,,
293,06/12/22 05:00:00 PM,32.807,22044.6,,,,,
294,06/12/22 06:00:00 PM,33.222,22044.6,,,,,
295,06/12/22 07:00:00 PM,29.853,15844.5,,,,,
296,06/12/22 08:00:00 PM,27.075,12400.1,,,,,
297,06/12/22 09:00:00 PM,24.062,7233.4,,,,,
298,06/12/22 10:00:00 PM,19.662,0.0,,,,,
299,06/12/22 11:00:00 PM,18.521,0.0,,,,,
300,06/13/22 12:00:00 AM,17.475,0.0,,,,,
301,06/13/22 01:00:00 AM,17.284,0.0,,,,,
302,06/13/22 02:00:00 AM,16.903,0.0,,,,,
303,06/13/22 03:00:00 AM,16.618,0.0,,,,,
304,06/13/22 04:00:00 AM,16.237,0.0,,,,,
305,06/13/22 05:00:00 AM,16.046,0.0,,,,,
306,06/13/22 06:00:00 AM,18.806,7577.8,,,,,
307,06/13/22 07:00:00 AM,20.996,13089.0,,,,,
308,06/13/22 08:00:00 AM,23.100,15844.5,,,,,
309,06/13/22 09:00:00 AM,27.468,22044.6,,,,,
310,06/13/22 10:00:00 AM,29.053,22044.6,,,,,
311,06/13/22 11:00:00 AM,28.953,19289.0,,,,,
312,06/13/22 12:00:00 PM,29.152,19977.9,,,,,
313,06/13/22 01:00:00 PM,29.552,19977.9,,,,,
314,06/13/22 02:00:00 PM,30.255,19289.0,,,,,
315,06/13/22 03:00:00 PM,30.760,20666.8,,,,,
316,06/13/22 04:00:00 PM,31.268,19289.0,,,,,
317,06/13/22 05:00:00 PM,31.574,20666.8,,,,,
318,06/13/22 06:00:00 PM,31.880,19289.0,,,,,
319,06/13/22 07:00:00 PM,29.053,14466.8,,,,,
320,06/13/22 08:00:00 PM,26.781,11022.3,,,,,
321,06/13/22 09:00:00 PM,23.869,6544.5,,,,,
322,06/13/22 10:00:00 PM,19.758,0.0,,,,,
323,06/13/22 11:00:00 PM,18.521,0.0,,,,,
324,06/14/22 12:00:00 AM,17.570,0.0,,,,,
325,06/14/22 01:00:00 AM,17.284,0.0,,,,,
326,06/14/22 02:00:00 AM,16.903,0.0,,,,,
327,06/14/22 03:00:00 AM,16.618,0.0,,,,,
328,06/14/22 04:00:00 AM,16.332,0.0,,,,,
329,06/14/22 05:00:00 AM,16.046,0.0,,,,,
330,06/14/22 06:00:00 AM,18.616,6544.5,,,,,
331,06/14/22 07:00:00 AM,20.519,11711.2,,,,,
332,06/14/22 08:00:00 AM,22.429,13089.0,,,,,
333,06/14/22 09:00:00 AM,26.195,19289.0,,,,,
334,06/14/22 10:00:00 AM,27.665,19289.0,,,,,
335,06/14/22 11:00:00 AM,28.655,19977.9,,,,,
336,06/14/22 12:00:00 PM,29.152,19977.9,,,,,
337,06/14/22 01:00:00 PM,29.652,19289.0,,,,,
338,06/14/22 02:00:00 PM,30.356,22044.6,,,,,
339,06/14/22 03:00:00 PM,31.676,22044.6,,,,,
340,06/14/22 04:00:00 PM,32.291,22044.6,,,,,
341,06/14/22 05:00:00 PM,32.704,22044.6,,,,,
342,06/14/22 06:00:00 PM,32.807,22044.6,,,,,
343,06/14/22 07:00:00 PM,30.154,16533.4,,,,,
344,06/14/22 08:00:00 PM,27.567,12400.1,,,,,
345,06/14/22 09:00:00 PM,24.351,7233.4,,,,,
346,06/14/22 10:00:00 PM,19.662,0.0,,,,,
347,06/14/22 11:00:00 PM,18.426,0.0,,,,,
348,06/15/22 12:00:00 AM,17.475,0.0,,,,,
349,06/15/22 01:00:00 AM,17.189,0.0,,,,,
350,06/15/22 02:00:00 AM,16.808,0.0,,,,,
351,06/15/22 03:00:00 AM,16.523,0.0,,,,,
352,06/15/22 04:00:00 AM,16.237,0.0,,,,,
353,06/15/22 05:00:00 AM,16.046,0.0,,,,,
354,06/15/22 06:00:00 AM,18.806,7233.4,,,,,
355,06/15/22 07:00:00 AM,21.091,11711.2,,,,,
356,06/15/22 08:00:00 AM,23.196,14466.8,,,,,
357,06/15/22 09:00:00 AM,27.272,20666.8,,,,,
358,06/15/22 10:00:00 AM,28.754,20666.8,,,,,
