"Plot Title: JR_NH12"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10946908, SEN S/N: 10946908)","RH, % (LGR S/N: 10946908, SEN S/N: 10946908)","Host Connected (LGR S/N: 10946908)","Stopped (LGR S/N: 10946908)","End Of File (LGR S/N: 10946908)"
220,06/07/22 07:08:06 PM,23.357,77.435,,,
221,06/07/22 08:08:06 PM,22.685,78.187,,,
222,06/07/22 09:08:06 PM,21.489,79.079,,,
223,06/07/22 10:08:06 PM,19.583,82.634,,,
224,06/07/22 11:08:06 PM,18.346,84.018,,,
225,06/08/22 12:08:06 AM,17.418,84.467,,,
226,06/08/22 01:08:06 AM,17.061,85.341,,,
227,06/08/22 02:08:06 AM,16.799,84.735,,,
228,06/08/22 03:08:06 AM,16.466,85.094,,,
229,06/08/22 04:08:06 AM,16.156,85.077,,,
230,06/08/22 05:08:06 AM,15.918,86.457,,,
231,06/08/22 06:08:06 AM,16.132,84.282,,,
232,06/08/22 07:08:06 AM,16.656,81.406,,,
233,06/08/22 08:08:06 AM,17.204,82.163,,,
234,06/08/22 09:08:06 AM,18.584,80.407,,,
235,06/08/22 10:08:06 AM,20.082,78.330,,,
236,06/08/22 11:08:06 AM,20.988,77.779,,,
237,06/08/22 12:08:06 PM,21.537,76.316,,,
238,06/08/22 01:08:06 PM,21.919,77.141,,,
239,06/08/22 02:08:06 PM,22.685,76.000,,,
240,06/08/22 03:08:06 PM,23.093,76.342,,,
241,06/08/22 04:08:06 PM,23.549,75.826,,,
242,06/08/22 05:08:06 PM,23.838,75.302,,,
243,06/08/22 06:08:06 PM,24.055,75.054,,,
244,06/08/22 07:08:06 PM,23.357,77.492,,,
245,06/08/22 08:08:06 PM,22.757,77.686,,,
246,06/08/22 09:08:06 PM,21.584,79.185,,,
247,06/08/22 10:08:06 PM,19.535,82.902,,,
248,06/08/22 11:08:06 PM,18.393,84.112,,,
249,06/09/22 12:08:06 AM,17.394,84.242,,,
250,06/09/22 01:08:06 AM,16.990,85.324,,,
251,06/09/22 02:08:06 AM,16.775,84.784,,,
252,06/09/22 03:08:06 AM,16.418,85.138,,,
253,06/09/22 04:08:06 AM,16.085,85.278,,,
254,06/09/22 05:08:06 AM,15.965,85.630,,,
255,06/09/22 06:08:06 AM,16.108,83.867,,,
256,06/09/22 07:08:06 AM,16.633,81.539,,,
257,06/09/22 08:08:06 AM,17.180,82.130,,,
258,06/09/22 09:08:06 AM,18.584,80.127,,,
259,06/09/22 10:08:06 AM,20.106,78.250,,,
260,06/09/22 11:08:06 AM,21.012,77.669,,,
261,06/09/22 12:08:06 PM,21.537,76.374,,,
262,06/09/22 01:08:06 PM,21.919,76.739,,,
263,06/09/22 02:08:06 PM,22.685,75.219,,,
264,06/09/22 03:08:06 PM,23.117,75.971,,,
265,06/09/22 04:08:06 PM,23.573,75.657,,,
266,06/09/22 05:08:06 PM,23.862,75.307,,,
267,06/09/22 06:08:06 PM,24.127,75.127,,,
268,06/09/22 07:08:06 PM,23.405,77.473,,,
269,06/09/22 08:08:06 PM,22.757,78.374,,,
270,06/09/22 09:08:06 PM,21.608,79.247,,,
271,06/09/22 10:08:06 PM,19.559,83.379,,,
272,06/09/22 11:08:06 PM,18.417,84.034,,,
273,06/10/22 12:08:06 AM,17.537,84.165,,,
274,06/10/22 01:08:06 AM,17.037,85.063,,,
275,06/10/22 02:08:06 AM,16.728,85.100,,,
276,06/10/22 03:08:06 AM,16.394,85.404,,,
277,06/10/22 04:08:06 AM,16.132,85.343,,,
278,06/10/22 05:08:06 AM,15.918,85.727,,,
279,06/10/22 06:08:06 AM,16.085,84.135,,,
280,06/10/22 07:08:06 AM,16.656,81.074,,,
281,06/10/22 08:08:06 AM,17.180,82.295,,,
282,06/10/22 09:08:06 AM,18.607,79.880,,,
283,06/10/22 10:08:06 AM,20.154,78.033,,,
284,06/10/22 11:08:06 AM,21.012,77.612,,,
285,06/10/22 12:08:06 PM,21.584,76.067,,,
286,06/10/22 01:08:06 PM,22.925,70.231,,,
287,06/10/22 02:08:06 PM,22.589,76.241,,,
288,06/10/22 03:08:06 PM,23.117,76.318,,,
289,06/10/22 04:08:06 PM,23.597,75.894,,,
290,06/10/22 05:08:06 PM,23.910,75.317,,,
291,06/10/22 06:08:06 PM,24.103,75.180,,,
292,06/10/22 07:08:06 PM,23.453,76.964,,,
293,06/10/22 08:08:06 PM,22.829,77.901,,,
294,06/10/22 09:08:06 PM,21.584,79.242,,,
295,06/10/22 10:08:06 PM,19.583,82.606,,,
296,06/10/22 11:08:06 PM,18.393,84.387,,,
297,06/11/22 12:08:06 AM,17.442,84.828,,,
298,06/11/22 01:08:06 AM,17.037,86.097,,,
299,06/11/22 02:08:06 AM,16.728,85.481,,,
300,06/11/22 03:08:06 AM,16.418,85.355,,,
301,06/11/22 04:08:06 AM,16.156,85.458,,,
302,06/11/22 05:08:06 AM,15.918,85.592,,,
303,06/11/22 06:08:06 AM,16.013,84.555,,,
304,06/11/22 07:08:06 AM,16.680,81.356,,,
305,06/11/22 08:08:06 AM,17.252,82.201,,,
306,06/11/22 09:08:06 AM,18.655,79.974,,,
307,06/11/22 10:08:06 AM,20.178,77.782,,,
