Date/Time,WW; Z108A; Climate Temperature(°F),WW; Z108A; Heating Target(°F),WW; Z108A; Cooling Target(°F),WW; Z108A; Ventilation Required(%),WW; Z108A; Heating Required(%)
2022/03/07 14:00:00,74.20,65.0,75.0,21.98,0.09
2022/03/07 20:00:00,70.90,65.0,75.0,12.70,0.95
2022/03/08 02:00:00,65.00,65.0,75.0,0.00,21.25
2022/03/08 08:00:00,65.10,65.0,75.0,0.00,31.84
2022/03/08 14:00:00,74.20,65.0,75.0,24.06,0.00
2022/03/08 20:00:00,69.90,65.0,75.0,7.20,0.02
2022/03/09 02:00:00,66.20,65.0,75.0,0.00,5.34
2022/03/09 08:00:00,65.10,65.0,75.0,0.00,22.56
2022/03/09 14:00:00,74.00,65.0,75.0,21.82,0.00
2022/03/09 20:00:00,70.10,65.0,75.0,5.77,0.16
2022/03/10 02:00:00,64.90,65.0,75.0,0.00,35.75
2022/03/10 08:00:00,65.00,65.0,75.0,0.00,58.05
2022/03/10 14:00:00,67.20,65.0,75.0,0.00,5.34
2022/03/10 20:00:00,66.70,65.0,75.0,0.00,4.40
2022/03/11 02:00:00,64.80,65.0,75.0,0.00,26.38
2022/03/11 08:00:00,65.10,65.0,75.0,0.00,36.23
2022/03/11 14:00:00,73.30,65.0,75.0,18.35,0.28
2022/03/11 20:00:00,70.30,65.0,75.0,14.35,3.09
2022/03/12 02:00:00,64.80,65.0,75.0,0.00,34.38
2022/03/12 08:00:00,65.00,65.0,75.0,0.00,53.47
2022/03/12 14:00:00,73.60,65.0,75.0,14.56,0.24
2022/03/12 20:00:00,71.40,65.0,75.0,13.31,0.03
2022/03/13 02:00:00, , , , , 
2022/03/13 08:00:00,65.80,65.0,75.0,0.00,9.01
2022/03/13 14:00:00,74.60,65.0,75.0,46.33,0.01
2022/03/13 20:00:00,76.40,65.0,75.0,63.17,0.00
2022/03/14 02:00:00,66.60,65.0,75.0,0.00,0.13
2022/03/14 08:00:00,66.40,65.0,75.0,0.00,0.33
2022/03/14 14:00:00,73.10,65.0,75.0,16.64,0.00
2022/03/14 20:00:00,74.00,65.0,75.0,18.22,0.00
2022/03/15 02:00:00,67.10,65.0,75.0,0.00,0.74
2022/03/15 08:00:00,65.50,65.0,75.0,0.00,7.82
2022/03/15 14:00:00,74.30,65.0,75.0,43.64,0.05
2022/03/15 20:00:00,75.20,65.0,75.0,61.33,0.00
2022/03/16 02:00:00,66.40,65.0,75.0,0.00,1.20
2022/03/16 08:00:00,65.50,65.0,75.0,0.00,8.52
2022/03/16 14:00:00,75.10,65.0,75.0,53.19,0.00
2022/03/16 20:00:00,78.10,65.0,75.0,65.48,0.00
2022/03/17 02:00:00,66.50,65.0,75.0,0.00,0.01
2022/03/17 08:00:00,66.50,65.0,75.0,0.00,0.08
2022/03/17 14:00:00,72.80,65.0,75.0,22.60,0.00
2022/03/17 20:00:00,71.00,65.0,75.0,11.37,0.03
2022/03/18 02:00:00,65.70,65.0,75.0,0.00,7.50
2022/03/18 08:00:00,64.90,65.0,75.0,0.00,29.53
2022/03/18 14:00:00,66.40,65.0,75.0,0.00,6.25
2022/03/18 20:00:00,71.10,65.0,75.0,0.01,0.02
2022/03/19 02:00:00,66.40,65.0,75.0,0.00,2.61
2022/03/19 08:00:00,65.00,65.0,75.0,0.00,16.58
2022/03/19 14:00:00,74.30,65.0,75.0,45.49,0.30
2022/03/19 20:00:00,74.90,65.0,75.0,59.80,0.01
2022/03/20 02:00:00,66.40,65.0,75.0,0.00,1.23
2022/03/20 08:00:00,65.90,65.0,75.0,0.00,2.38
2022/03/20 14:00:00,77.60,65.0,75.0,59.57,0.00
2022/03/20 20:00:00,77.70,65.0,75.0,60.53,0.00
2022/03/21 02:00:00,68.10,65.0,75.0,0.00,0.00
2022/03/21 08:00:00,66.30,65.0,75.0,0.00,0.01
2022/03/21 14:00:00,71.10,65.0,75.0,2.98,0.00
2022/03/21 20:00:00,66.60,65.0,75.0,0.00,0.13
2022/03/22 02:00:00,66.20,65.0,75.0,0.00,0.37
2022/03/22 08:00:00,66.00,65.0,75.0,0.00,0.85
2022/03/22 14:00:00,65.30,65.0,75.0,0.00,9.58
2022/03/22 20:00:00,65.40,65.0,75.0,0.00,10.01
2022/03/23 02:00:00,65.10,65.0,75.0,0.00,13.91
2022/03/23 08:00:00,65.10,65.0,75.0,0.00,18.55
2022/03/23 14:00:00,66.40,65.0,75.0,0.00,1.39
2022/03/23 20:00:00,66.00,65.0,75.0,0.00,2.79
2022/03/24 02:00:00,64.90,65.0,75.0,0.00,20.78
2022/03/24 08:00:00,65.20,65.0,75.0,0.00,15.26
2022/03/24 14:00:00,67.70,65.0,75.0,0.00,0.59
2022/03/24 20:00:00,70.60,65.0,75.0,0.00,0.04
2022/03/25 02:00:00,65.50,65.0,75.0,0.00,11.68
2022/03/25 08:00:00,65.10,65.0,75.0,0.00,18.48
2022/03/25 14:00:00,68.90,65.0,75.0,3.27,0.06
2022/03/25 20:00:00,73.30,65.0,75.0,41.06,0.03
2022/03/26 02:00:00,65.40,65.0,75.0,0.00,11.12
2022/03/26 08:00:00,65.00,65.0,75.0,0.00,21.74
2022/03/26 14:00:00,74.10,65.0,75.0,47.97,0.21
2022/03/26 20:00:00,73.90,65.0,75.0,58.51,0.01
2022/03/27 02:00:00,65.70,65.0,75.0,0.00,8.12
2022/03/27 08:00:00,65.00,65.0,75.0,0.00,17.23
2022/03/27 14:00:00,74.10,65.0,75.0,46.32,0.34
2022/03/27 20:00:00,73.00,65.0,75.0,49.04,0.11
2022/03/28 02:00:00,65.30,65.0,75.0,0.00,12.29
2022/03/28 08:00:00,65.00,65.0,75.0,0.00,19.03
2022/03/28 14:00:00,74.20,65.0,75.0,42.58,0.44
2022/03/28 20:00:00,75.60,65.0,75.0,59.01,0.01
2022/03/29 02:00:00,66.10,65.0,75.0,0.00,2.45
2022/03/29 08:00:00,65.70,65.0,75.0,0.00,6.19
2022/03/29 14:00:00,75.00,65.0,75.0,34.87,0.00
2022/03/29 20:00:00,78.10,65.0,75.0,63.62,0.00
2022/03/30 02:00:00,66.80,65.0,75.0,0.00,0.03
2022/03/30 08:00:00,66.30,65.0,75.0,0.00,0.88
2022/03/30 14:00:00,68.50,65.0,75.0,0.00,0.03
2022/03/30 20:00:00,67.20,65.0,75.0,0.00,0.81
2022/03/31 02:00:00,65.10,65.0,75.0,0.00,13.94
2022/03/31 08:00:00,64.90,65.0,75.0,0.00,25.24
2022/03/31 14:00:00,70.10,65.0,75.0,11.65,4.41
2022/03/31 20:00:00,72.60,65.0,75.0,30.20,0.07
2022/04/01 02:00:00,65.40,65.0,75.0,0.00,11.48
2022/04/01 08:00:00,65.00,65.0,75.0,0.00,19.63
2022/04/01 14:00:00,74.60,65.0,75.0,50.12,0.10
2022/04/01 20:00:00,75.50,65.0,75.0,61.82,0.00
2022/04/02 02:00:00,66.50,65.0,75.0,0.00,0.07
2022/04/02 08:00:00,65.40,65.0,75.0,0.00,11.02
2022/04/02 14:00:00,79.40,65.0,75.0,56.42,0.01
2022/04/02 20:00:00,82.60,65.0,75.0,74.80,0.00
2022/04/03 02:00:00,66.80,65.0,75.0,0.00,0.10
2022/04/03 08:00:00,66.30,65.0,75.0,0.00,0.18
2022/04/03 14:00:00,74.40,65.0,75.0,34.85,0.00
2022/04/03 20:00:00,75.20,65.0,75.0,23.35,0.00
2022/04/04 02:00:00,66.90,65.0,75.0,0.00,0.04
2022/04/04 08:00:00,66.10,65.0,75.0,0.00,7.73
2022/04/04 14:00:00,77.20,65.0,75.0,52.09,0.05
2022/04/04 20:00:00,80.30,65.0,75.0,67.33,0.00
2022/04/05 02:00:00,66.60,65.0,75.0,0.00,0.11
2022/04/05 08:00:00,66.40,65.0,75.0,0.00,0.19
2022/04/05 14:00:00,71.40,65.0,75.0,0.27,0.00
2022/04/05 20:00:00,77.60,65.0,75.0,46.13,0.00
2022/04/06 02:00:00,66.50,65.0,75.0,0.00,0.08
2022/04/06 08:00:00,65.60,65.0,75.0,0.00,7.75
2022/04/06 14:00:00,78.60,63.3,75.7,60.11,0.00
2022/04/06 20:00:00,74.30,60.0,77.0,19.99,0.00
2022/04/07 02:00:00,63.10,60.0,77.0,0.00,0.09
2022/04/07 08:00:00,61.30,60.0,77.0,0.00,0.35
2022/04/07 14:00:00,73.90,60.0,77.0,0.03,0.00
2022/04/07 20:00:00,73.60,60.1,77.0,0.29,0.00
2022/04/08 02:00:00,62.00,60.0,77.0,0.00,0.21
2022/04/08 08:00:00,61.30,60.0,77.0,0.00,0.33
2022/04/08 14:00:00,74.40,60.0,77.0,27.12,0.00
2022/04/08 20:00:00,75.70,60.0,77.0,27.96,0.00
2022/04/09 02:00:00,63.40,60.0,77.0,0.00,0.15
2022/04/09 08:00:00,61.30,60.0,77.0,0.00,0.49
